AQI,CO2_Level_ppm,NO2_Level_ppm,PM2_5_ug_m3,PM10_ug_m3,VOC_Level_ppm,pH_Level,Nitrogen_mg_kg,Phosphorus_mg_kg,Potassium_mg_kg,Moisture_Level_%,Organic_Matter_%,Plot_Area_m2,Plant_Type
137.97,914.08,55.56,34.59,43.09,2.36,6.84,151.13,82.13,77.68,77.16,4.37,496.98,Ficus
161.55,790.16,54.72,25.31,47.79,3.31,8.12,35.26,21.69,17.67,20.16,0.38,302.31,Succulent
157.35,854.69,36.75,41.84,32.29,3.84,8.07,30.75,21.75,23.94,17.78,0.03,361.94,Succulent
150.83,802.23,48.79,41.93,41.79,2.8,8.08,26.03,22.52,17.48,15.94,0.47,237.68,Succulent
149.47,799.01,66.01,34.16,33.86,2.63,8.14,30.48,22.98,21.82,33.04,0.71,310.37,Succulent
112.67,712.62,52.59,32.68,38.75,1.8,7.1,136.36,82.62,71.93,73.93,4.06,588.72,Ficus
134.54,778.16,68.57,35.06,47.43,2.95,6.89,150.34,72.96,74.87,74.64,5.28,529.96,Ficus
127.83,828.99,52.18,37.9,39.17,2.48,5.81,95.68,64.1,67.1,53.82,2.19,191.58,Orchid
144.51,795.62,45.9,25.86,43.07,3.09,4.38,90.08,59.55,56.28,31.86,1.8,199.89,Orchid
185.11,858.48,39.14,30.89,44.72,2.7,6.54,140.98,85.59,79.29,72.01,4.27,525.44,Ficus
140.26,758.73,53.79,33.71,38.47,2.88,7.35,146.78,86.08,73.04,70.22,4.64,566.59,Ficus
191.71,771.31,50.88,38.14,34.69,2.32,5.38,91.84,55.43,59.96,37.87,1.55,214.73,Orchid
172.99,818.83,61.32,29.68,34.6,1.77,8.41,26.39,16.67,20.3,24.65,0.43,275.07,Succulent
142.22,912.99,44.87,39.46,37.83,2.53,5.28,70.31,66.78,55.22,40.14,1.78,186.44,Orchid
118.19,810.7,65.43,41.34,43.76,2.56,6.06,63.64,37.79,38.31,52.79,1.25,44.22,Bonsai
129.68,896.02,66.44,34.86,32.34,2.28,6.11,151.11,80.65,81.6,72.55,4.2,584.64,Ficus
138.15,947.45,56.9,41.34,45.24,2.3,7.0,151.72,82.44,80.78,76.29,3.84,473.41,Ficus
128.89,718.16,77.06,25.55,32.39,2.58,6.18,47.25,42.53,35.01,47.65,1.47,50.22,Bonsai
131.48,893.46,63.5,22.14,39.1,3.16,8.29,36.28,18.42,19.99,19.86,0.36,271.37,Succulent
151.18,792.49,49.84,27.98,32.1,2.5,7.94,40.33,19.68,19.79,19.88,0.75,289.06,Succulent
139.7,810.85,57.35,28.15,43.1,2.65,5.77,77.28,57.75,63.87,45.52,1.82,236.12,Orchid
142.0,759.89,44.2,34.41,33.12,1.5,8.32,30.63,19.07,19.22,20.58,0.7,294.04,Succulent
169.09,804.83,48.92,39.34,41.29,2.63,7.94,23.71,15.58,18.28,26.46,0.29,303.17,Succulent
151.79,818.16,51.26,32.7,42.51,2.52,6.95,162.19,75.0,84.71,74.17,4.29,519.95,Ficus
154.99,746.01,40.13,34.64,43.75,2.85,5.53,82.77,60.99,56.48,39.79,1.63,183.93,Orchid
163.13,805.64,49.09,38.33,44.49,2.45,5.88,56.78,32.43,38.79,60.73,1.31,51.76,Bonsai
152.48,940.33,66.42,31.1,42.25,2.15,5.05,98.18,64.95,58.21,39.27,1.91,201.77,Orchid
144.13,761.16,35.82,34.51,31.88,2.37,6.4,51.37,43.06,43.31,55.3,1.23,51.28,Bonsai
119.77,785.41,34.66,40.55,46.21,2.72,8.24,24.14,18.87,22.59,24.62,0.24,304.08,Succulent
168.76,772.13,53.45,28.65,34.98,2.43,5.4,97.22,52.75,58.39,37.1,1.1,161.69,Orchid
145.33,853.04,66.1,25.85,37.98,2.79,5.64,70.63,47.62,38.26,46.11,1.26,47.92,Bonsai
121.85,756.86,34.18,41.36,41.58,3.2,6.99,131.74,81.76,88.79,65.57,3.87,509.64,Ficus
163.78,821.32,35.91,31.32,46.02,2.51,8.19,25.73,19.17,21.23,14.18,0.26,262.96,Succulent
164.43,874.64,31.96,41.38,40.64,1.76,8.23,26.45,23.52,15.77,14.67,0.52,359.96,Succulent
136.46,782.15,51.99,33.56,43.56,2.42,7.2,139.29,81.72,75.23,75.52,4.0,521.48,Ficus
167.32,808.76,59.2,30.89,40.76,2.17,5.64,79.56,63.16,49.56,36.53,1.71,223.56,Orchid
185.27,898.14,32.25,27.57,42.7,1.95,7.89,41.09,15.71,20.75,18.24,0.14,278.91,Succulent
188.91,771.07,47.24,33.79,38.87,2.47,8.11,29.04,14.76,19.11,13.64,0.21,299.46,Succulent
179.72,803.67,45.92,38.65,36.33,2.79,6.05,67.31,48.77,41.12,49.66,1.52,63.56,Bonsai
127.37,798.4,29.93,32.85,39.91,2.73,7.83,27.35,19.09,22.91,9.12,0.58,268.76,Succulent
161.34,872.58,40.47,36.69,42.98,2.38,8.13,30.04,17.15,19.68,17.84,0.45,263.13,Succulent
139.07,817.14,43.22,30.14,45.39,2.04,7.16,25.3,23.26,22.12,15.26,0.35,310.01,Succulent
187.29,772.8,35.41,38.66,35.58,2.56,7.92,34.6,24.56,21.28,23.62,0.22,309.48,Succulent
183.88,760.19,48.82,40.04,34.58,2.95,5.61,67.48,33.07,34.91,52.26,1.63,40.93,Bonsai
139.52,762.59,59.13,49.45,38.24,3.27,5.32,97.74,58.88,60.7,32.75,2.2,194.13,Orchid
153.74,812.07,51.39,30.23,39.5,2.41,7.59,156.97,85.95,81.48,64.19,4.44,470.74,Ficus
167.68,859.73,57.47,39.36,46.95,3.3,6.89,125.17,92.12,82.02,68.24,3.8,490.19,Ficus
133.73,789.86,53.86,36.82,36.89,2.27,8.11,29.64,25.89,21.15,13.56,0.24,320.23,Succulent
145.22,744.85,53.52,26.71,37.54,1.99,5.88,72.27,45.15,38.04,49.6,1.51,46.24,Bonsai
126.64,816.99,31.64,47.96,40.6,2.91,5.66,64.28,34.85,33.23,51.86,1.82,48.99,Bonsai
131.45,823.39,53.4,38.39,37.62,1.97,5.3,78.22,58.23,49.89,34.85,2.26,214.03,Orchid
126.44,832.54,48.65,46.94,42.6,2.52,7.76,22.58,17.09,18.49,22.98,0.52,299.23,Succulent
121.32,894.89,47.94,42.6,39.57,1.53,5.6,69.17,34.31,38.25,46.19,1.43,65.2,Bonsai
140.07,772.7,39.91,31.67,47.28,2.75,8.17,24.51,22.2,22.86,22.5,0.45,273.77,Succulent
139.01,830.26,68.58,41.18,36.19,2.2,5.97,70.54,40.57,41.7,51.58,1.18,49.53,Bonsai
148.67,746.74,48.93,35.09,44.52,2.36,5.76,55.88,35.85,40.01,45.27,1.27,48.22,Bonsai
149.8,786.0,55.77,38.38,44.54,3.41,5.44,96.64,53.05,64.38,40.57,1.69,192.35,Orchid
138.08,836.98,43.39,36.5,46.35,2.39,8.2,30.97,18.7,13.08,12.64,0.87,316.57,Succulent
136.68,708.76,40.23,37.75,40.84,1.42,8.09,26.87,18.51,16.63,13.48,0.32,306.65,Succulent
133.78,762.5,62.14,29.32,33.81,2.77,5.9,48.14,34.4,38.27,44.09,1.02,34.71,Bonsai
165.49,809.95,41.12,33.34,41.34,2.48,7.21,151.26,79.98,84.62,72.91,3.43,554.63,Ficus
138.03,741.69,51.74,34.54,35.1,3.18,7.75,31.76,19.39,25.72,19.77,0.69,226.75,Succulent
143.03,833.85,42.01,35.66,42.12,3.08,5.67,92.45,64.9,49.18,34.72,2.09,217.25,Orchid
120.66,751.16,41.15,30.04,50.61,2.57,5.58,98.19,62.32,58.54,37.39,1.45,161.15,Orchid
163.8,800.81,40.34,34.97,37.64,2.6,8.38,38.92,19.78,19.81,21.7,0.48,326.8,Succulent
133.21,751.81,51.57,45.29,40.51,3.67,6.98,148.94,75.31,80.29,64.18,4.09,561.57,Ficus
157.15,800.19,47.03,33.0,40.97,2.49,5.89,92.98,69.91,55.46,39.63,1.96,197.24,Orchid
131.56,729.49,83.48,29.77,39.51,2.62,6.26,70.44,36.46,43.86,53.15,1.61,45.03,Bonsai
151.74,784.61,63.3,44.58,32.11,2.24,6.28,68.36,40.47,45.78,51.5,1.84,47.62,Bonsai
157.55,775.4,63.1,43.7,41.73,2.68,7.13,154.5,76.57,74.35,70.55,3.54,438.28,Ficus
153.2,880.44,57.21,42.96,37.85,2.54,7.53,160.19,69.78,76.69,70.74,3.72,537.66,Ficus
135.6,856.05,45.85,32.92,43.95,2.56,7.08,142.17,83.31,70.69,74.74,4.75,489.97,Ficus
157.99,834.77,57.56,26.1,47.17,1.81,7.96,143.57,83.09,77.69,77.83,5.06,525.01,Ficus
153.89,822.24,48.69,34.68,40.96,2.63,7.4,155.04,86.15,82.39,70.91,4.28,508.43,Ficus
153.53,765.22,43.56,29.8,42.04,2.2,6.82,146.93,75.94,74.15,71.79,4.1,581.01,Ficus
158.28,797.01,31.99,30.56,38.8,2.85,5.22,84.37,55.95,50.76,40.08,1.96,223.57,Orchid
147.81,704.6,34.8,29.94,38.92,2.36,6.98,137.13,83.36,76.37,66.66,3.77,506.95,Ficus
179.46,754.31,48.42,30.98,40.29,2.03,5.66,81.33,59.33,55.32,46.78,2.32,216.47,Orchid
153.2,794.98,48.57,35.42,42.6,2.05,5.42,99.11,63.38,53.91,37.06,1.95,209.49,Orchid
158.91,821.87,50.18,37.89,39.33,2.92,5.63,81.05,55.69,60.94,46.65,2.28,181.69,Orchid
144.33,790.93,48.08,29.86,38.67,2.2,6.12,83.02,60.05,52.99,32.82,1.62,225.3,Orchid
145.49,782.35,64.77,44.13,41.74,1.92,5.46,98.81,53.68,64.14,42.2,2.1,210.55,Orchid
187.59,814.58,60.66,31.25,43.85,2.07,8.29,31.6,19.67,24.59,17.96,0.81,294.8,Succulent
125.33,811.93,43.01,36.52,46.42,1.94,6.61,60.9,35.0,41.23,41.48,1.97,47.97,Bonsai
141.18,822.67,41.46,38.34,23.89,2.2,5.74,59.77,39.92,33.34,50.19,1.0,50.05,Bonsai
205.29,787.85,58.29,40.84,35.05,2.17,6.01,59.67,45.23,51.01,49.58,1.47,42.34,Bonsai
149.03,774.48,39.28,44.39,40.04,1.66,7.9,21.09,17.72,18.26,25.04,0.37,320.21,Succulent
167.76,900.26,53.57,42.15,37.78,2.7,8.09,26.88,22.89,14.56,20.65,0.5,336.23,Succulent
140.13,801.96,48.8,32.0,34.43,2.11,5.95,53.54,33.32,47.4,49.11,1.21,32.5,Bonsai
142.18,871.18,74.65,37.19,37.54,2.15,5.82,78.31,52.42,55.16,38.61,1.77,213.45,Orchid
146.34,758.8,48.12,34.36,29.01,1.57,6.73,152.31,80.01,78.68,72.02,3.59,545.08,Ficus
109.26,814.34,59.37,35.95,43.0,3.17,8.05,29.63,20.16,21.81,18.48,0.64,304.65,Succulent
151.74,785.45,57.63,40.76,40.48,2.69,5.38,87.22,61.68,63.33,35.35,1.9,215.29,Orchid
150.47,850.09,36.88,35.66,40.66,2.69,6.03,61.96,36.08,38.12,53.65,1.42,48.19,Bonsai
139.61,716.53,44.96,36.03,42.37,2.35,7.76,25.82,12.74,18.4,15.53,0.98,292.31,Succulent
163.82,771.67,50.79,35.8,42.49,2.18,6.61,63.86,44.62,36.37,55.03,1.64,48.07,Bonsai
165.44,803.28,54.85,32.19,40.78,2.56,5.14,103.49,61.99,58.31,44.87,2.28,222.28,Orchid
132.18,834.06,60.94,26.94,40.92,3.3,5.39,78.99,54.14,59.85,48.28,1.83,229.17,Orchid
155.35,742.33,56.96,31.42,40.65,2.35,6.68,127.01,74.41,82.87,82.29,3.4,502.02,Ficus
130.7,828.6,53.5,30.93,44.15,2.48,6.79,145.6,77.84,80.2,74.17,3.35,410.18,Ficus
163.42,765.79,55.51,24.04,40.44,2.92,6.62,53.67,39.71,41.2,44.15,0.89,57.21,Bonsai
143.82,711.19,34.04,34.37,29.93,2.17,6.47,143.39,74.21,73.58,73.26,4.12,432.71,Ficus
133.76,817.59,36.98,29.62,44.9,1.61,6.23,49.82,39.89,37.51,50.37,1.2,45.77,Bonsai
164.23,840.94,43.32,37.2,39.27,2.5,7.48,153.09,86.77,85.46,74.86,4.24,546.68,Ficus
132.3,761.85,48.57,41.79,38.3,2.0,8.58,35.24,19.28,20.63,24.13,0.62,328.14,Succulent
152.13,731.64,48.42,30.38,44.3,2.5,6.81,158.02,83.17,71.26,77.21,4.81,461.21,Ficus
137.77,803.95,50.85,40.33,34.93,2.51,6.06,67.57,40.22,28.18,47.81,1.11,55.93,Bonsai
115.93,778.16,46.59,37.53,39.88,3.31,7.07,147.18,78.98,81.2,71.45,4.88,500.5,Ficus
132.62,880.68,26.93,32.52,40.24,3.1,5.85,91.91,65.74,56.78,47.35,2.18,172.24,Orchid
138.81,756.11,44.73,34.81,36.86,2.99,7.82,25.31,19.13,18.9,21.77,0.7,290.79,Succulent
180.05,811.27,44.47,35.68,38.56,2.63,6.77,151.92,72.38,78.04,71.1,3.91,519.04,Ficus
164.45,738.3,57.64,30.39,39.45,3.32,5.33,99.97,67.11,62.87,36.04,1.28,136.34,Orchid
122.97,878.65,47.44,31.17,42.7,3.05,7.66,148.53,85.67,79.43,61.76,5.0,454.94,Ficus
131.89,909.2,42.83,33.65,35.55,2.3,7.53,141.44,78.4,78.13,70.0,4.17,407.27,Ficus
145.59,800.35,65.18,36.1,46.14,2.24,5.67,52.16,46.48,39.99,57.35,1.42,32.85,Bonsai
116.26,757.21,75.03,25.73,34.22,2.55,5.24,94.07,51.12,57.14,40.38,2.26,197.86,Orchid
143.1,795.2,65.65,33.32,36.45,2.56,5.7,62.33,37.34,39.93,41.98,1.66,64.8,Bonsai
147.52,747.3,46.61,38.07,38.54,2.38,6.04,83.72,67.35,58.64,43.18,2.37,210.49,Orchid
166.77,788.88,55.48,40.1,39.68,2.6,7.93,32.26,16.1,15.63,18.97,0.49,299.13,Succulent
143.27,786.9,72.6,32.41,39.64,2.41,8.01,27.08,19.63,19.34,17.34,0.52,316.35,Succulent
164.89,826.41,44.29,38.5,39.06,2.23,5.79,48.95,38.8,27.73,57.54,1.24,54.92,Bonsai
177.6,859.86,48.13,29.23,44.48,3.59,6.87,153.94,82.05,82.89,64.2,3.47,493.15,Ficus
130.21,870.17,43.33,36.87,38.3,3.15,6.96,145.6,72.78,71.6,60.25,3.85,521.47,Ficus
123.6,823.58,36.97,38.01,47.94,2.17,6.81,137.73,84.32,79.98,67.49,4.53,538.35,Ficus
175.07,818.4,58.04,39.54,38.65,2.61,6.18,54.27,32.93,32.82,47.37,1.5,53.81,Bonsai
167.59,803.07,43.14,28.39,35.36,2.47,6.07,58.54,42.0,39.58,55.31,1.64,57.14,Bonsai
158.28,834.76,40.71,50.59,32.35,1.67,6.95,138.59,81.37,84.34,72.44,3.7,603.1,Ficus
161.42,737.48,47.44,39.92,43.11,2.34,6.58,148.52,87.15,67.57,71.8,4.44,458.15,Ficus
167.13,866.58,47.88,20.91,30.63,3.07,8.07,32.85,12.28,16.94,16.84,0.72,289.64,Succulent
139.09,722.36,43.94,33.63,42.34,2.43,6.24,69.96,33.66,41.43,39.76,1.65,40.12,Bonsai
136.72,827.33,47.93,37.75,33.43,1.77,8.11,27.46,20.92,20.22,30.83,0.47,276.77,Succulent
111.62,772.79,61.46,40.2,35.18,2.15,7.15,142.12,79.12,80.61,61.94,4.59,517.23,Ficus
142.3,756.64,51.81,40.1,34.11,2.82,7.33,141.55,79.22,79.65,68.19,4.13,493.3,Ficus
161.85,782.17,65.99,34.1,48.33,2.28,6.94,148.44,82.18,87.85,64.66,4.05,499.38,Ficus
188.28,706.51,50.81,36.77,42.1,1.83,6.7,146.71,69.2,73.78,72.61,4.55,529.91,Ficus
138.39,808.76,30.33,45.56,42.68,4.14,7.08,151.38,83.47,75.61,69.27,3.96,524.58,Ficus
150.5,854.11,32.48,36.95,33.39,2.49,7.21,33.98,19.67,24.53,15.58,0.38,342.93,Succulent
126.62,816.86,40.25,39.0,31.88,1.4,6.11,57.86,34.85,30.7,44.8,1.43,31.76,Bonsai
144.62,825.54,50.46,31.25,42.81,2.31,7.45,126.02,80.97,76.62,69.29,3.81,458.69,Ficus
115.98,827.31,57.31,40.87,41.72,1.96,6.0,74.26,36.49,44.38,47.92,0.95,52.79,Bonsai
165.17,713.64,51.45,40.54,30.5,2.35,6.7,64.79,30.47,43.6,44.4,1.38,34.75,Bonsai
123.06,788.39,54.21,37.16,29.4,2.28,5.21,90.6,60.18,51.9,40.26,2.56,204.51,Orchid
151.25,734.35,31.73,26.42,33.6,2.63,5.21,101.77,52.36,60.13,36.65,2.36,211.87,Orchid
159.98,833.31,41.2,33.93,40.01,1.89,5.76,62.91,32.93,40.94,46.13,1.93,47.79,Bonsai
155.02,840.09,47.04,42.34,38.91,2.28,8.12,31.2,15.64,14.87,18.76,0.3,306.04,Succulent
134.96,783.72,48.94,40.97,46.23,2.22,7.14,147.82,70.77,83.78,60.81,4.22,520.55,Ficus
162.69,754.18,50.58,31.71,42.94,1.67,6.72,140.51,86.34,77.51,71.03,3.93,523.48,Ficus
182.37,785.12,57.75,32.87,41.96,2.67,8.24,34.62,21.09,23.73,20.42,0.55,324.12,Succulent
199.65,753.47,53.16,29.22,44.11,2.61,5.95,73.39,39.62,41.98,52.81,1.49,40.82,Bonsai
152.74,793.44,49.88,29.04,42.42,1.6,5.06,91.2,65.07,61.12,44.04,1.77,190.6,Orchid
141.7,817.06,59.38,42.71,39.41,2.47,6.34,66.22,47.4,45.57,45.94,1.09,77.08,Bonsai
138.97,787.02,45.37,38.04,38.61,2.65,5.63,96.73,67.21,49.04,44.49,2.14,163.21,Orchid
198.86,803.18,52.87,38.08,42.25,1.78,6.45,55.05,29.7,45.23,60.39,1.72,40.18,Bonsai
170.48,790.84,28.06,21.13,40.33,2.38,7.04,161.03,81.08,84.52,74.81,4.19,510.04,Ficus
140.58,723.2,38.77,40.88,33.31,2.08,5.72,55.32,32.26,43.28,46.47,1.4,46.01,Bonsai
152.54,811.81,67.44,31.96,47.43,2.05,7.92,27.18,16.73,22.15,13.42,0.3,305.47,Succulent
145.57,847.26,55.98,42.68,32.82,3.13,8.19,24.74,22.88,16.49,16.83,0.25,320.62,Succulent
133.02,743.76,52.78,29.06,42.12,2.99,8.17,27.41,20.85,23.29,19.14,0.49,282.68,Succulent
135.24,782.79,36.43,33.24,35.65,2.88,8.25,29.07,21.25,21.06,22.35,0.62,300.16,Succulent
143.31,926.86,37.33,36.94,42.35,2.52,5.76,93.29,60.6,60.89,39.37,2.01,223.77,Orchid
122.3,691.89,62.0,25.06,43.39,3.18,5.84,91.11,54.22,60.87,42.65,1.75,171.33,Orchid
144.21,750.49,54.6,40.33,36.92,2.79,6.25,89.12,57.22,56.54,50.95,1.46,188.2,Orchid
128.94,682.91,40.27,24.85,29.1,2.11,5.85,70.86,38.83,35.89,44.26,1.15,46.99,Bonsai
131.38,798.46,45.67,42.01,48.3,2.61,5.53,100.72,59.88,64.41,52.75,1.8,219.77,Orchid
154.25,817.88,55.67,36.23,42.26,2.42,6.36,49.3,45.74,38.7,51.14,1.32,46.1,Bonsai
167.99,722.73,43.36,31.46,43.4,2.13,6.45,65.21,38.39,45.69,45.07,2.0,48.54,Bonsai
162.12,852.25,48.71,29.18,43.32,2.15,7.28,166.52,81.26,86.59,61.34,4.59,480.34,Ficus
143.84,745.13,53.6,49.33,38.4,2.7,7.44,145.6,85.41,87.69,65.75,4.15,513.49,Ficus
151.09,768.44,40.58,37.34,51.44,2.76,5.21,63.25,39.89,41.18,45.31,1.39,47.1,Bonsai
104.37,809.7,40.7,23.96,43.08,1.09,5.64,77.07,54.87,67.91,31.89,1.82,159.01,Orchid
155.17,745.12,67.59,33.4,50.67,2.01,5.0,81.26,56.78,76.33,45.72,1.79,184.48,Orchid
143.82,843.72,54.49,40.13,38.56,1.66,7.48,142.74,83.7,73.69,75.54,3.36,501.81,Ficus
146.64,847.48,56.46,31.55,39.06,2.79,7.23,144.13,80.42,80.31,74.47,3.3,426.87,Ficus
149.48,777.57,48.37,24.5,41.13,2.19,7.66,29.43,20.89,21.22,20.73,0.57,288.19,Succulent
169.82,812.32,52.74,39.25,39.96,2.12,5.98,59.97,39.92,36.97,52.43,1.8,52.44,Bonsai
151.1,833.88,41.7,37.92,41.79,2.45,6.27,56.35,37.75,43.02,45.13,1.3,58.94,Bonsai
126.63,793.68,45.73,39.65,34.32,2.89,8.11,34.53,16.1,21.53,25.66,0.25,202.89,Succulent
173.22,797.43,47.18,30.26,46.27,2.16,5.35,85.16,58.35,58.53,48.41,1.78,253.16,Orchid
150.96,830.34,57.64,34.79,41.06,2.03,7.4,155.55,75.6,80.32,78.63,3.75,501.99,Ficus
122.95,841.15,66.47,31.34,35.93,2.98,7.96,29.13,20.61,22.06,16.78,0.43,319.58,Succulent
167.56,752.97,37.75,33.84,38.63,2.53,7.82,34.27,20.07,18.21,21.17,0.64,336.08,Succulent
149.42,834.01,57.47,27.6,34.02,3.14,5.84,61.26,37.07,36.28,48.42,1.62,43.5,Bonsai
143.02,896.25,41.08,33.86,28.85,2.02,8.06,39.72,21.93,22.95,24.13,0.76,244.89,Succulent
135.66,800.51,48.18,42.0,33.25,1.56,5.5,104.71,57.13,66.6,43.32,1.92,197.96,Orchid
141.84,779.59,44.29,38.54,40.09,1.78,6.87,147.53,80.2,78.02,68.92,3.81,493.87,Ficus
122.82,849.24,56.37,33.38,40.63,2.09,8.04,38.72,18.84,19.38,21.29,0.44,280.58,Succulent
153.14,818.83,31.58,35.43,35.69,2.41,5.98,57.19,34.13,38.83,50.71,1.21,53.17,Bonsai
139.91,698.77,29.47,26.9,38.17,2.8,7.79,31.99,20.88,25.08,21.23,0.63,268.0,Succulent
187.8,855.65,57.16,32.53,41.74,2.51,6.14,56.45,43.72,40.8,47.65,1.74,62.49,Bonsai
159.03,798.59,40.33,41.92,45.07,2.46,8.08,20.06,17.94,20.26,28.44,0.54,291.08,Succulent
172.02,790.7,44.74,33.7,41.74,3.22,6.18,54.39,43.56,48.28,54.77,1.49,48.47,Bonsai
143.28,890.47,58.14,29.5,48.09,2.64,6.56,170.45,80.4,83.66,62.38,3.6,461.81,Ficus
128.2,851.86,48.89,38.59,42.19,1.5,5.92,67.21,36.04,40.37,48.31,1.0,42.65,Bonsai
153.74,760.98,57.66,38.8,30.88,3.39,6.29,58.7,53.05,37.53,49.47,1.8,44.99,Bonsai
163.39,774.18,52.07,25.12,33.61,2.11,5.74,94.4,66.29,68.7,35.14,2.43,202.67,Orchid
153.92,861.54,38.11,43.41,37.74,1.71,6.47,126.17,78.26,86.1,66.02,4.7,468.99,Ficus
145.6,845.12,47.13,41.38,33.04,2.24,5.76,84.94,58.64,63.1,32.49,2.14,181.69,Orchid
124.28,849.95,61.18,37.45,35.83,2.31,6.05,93.63,58.47,60.48,51.73,2.38,181.12,Orchid
161.11,769.59,63.68,32.2,47.95,2.09,7.05,145.53,81.82,83.58,75.03,3.74,543.23,Ficus
185.27,785.13,52.88,38.01,37.36,3.19,5.9,90.6,60.66,61.41,47.72,2.39,190.59,Orchid
144.1,855.35,57.91,37.18,31.43,2.88,5.89,56.46,38.08,42.84,51.76,1.62,50.0,Bonsai
152.83,842.77,63.51,29.26,39.71,2.17,5.71,59.66,34.64,37.98,48.05,1.84,42.96,Bonsai
154.41,802.22,48.52,29.18,50.13,2.94,8.22,31.54,18.51,18.48,23.78,0.98,282.15,Succulent
136.46,820.85,64.0,41.91,39.18,3.42,8.04,24.04,19.06,23.38,25.67,0.47,299.9,Succulent
125.72,833.44,60.36,27.94,48.31,1.84,7.08,147.97,83.86,82.99,72.72,5.01,447.52,Ficus
147.37,780.01,50.34,37.99,41.48,2.23,7.09,148.63,78.66,75.38,72.93,4.28,481.35,Ficus
139.19,899.39,49.03,40.95,35.16,2.9,5.37,82.76,56.3,56.34,40.37,2.26,208.65,Orchid
141.45,813.27,37.86,39.3,40.87,2.58,5.5,96.02,53.86,61.95,45.27,2.17,194.69,Orchid
145.84,886.94,55.09,33.79,39.56,2.0,6.86,136.16,76.57,82.6,65.23,4.16,482.49,Ficus
160.02,808.92,52.02,36.47,34.22,0.98,7.21,159.38,66.22,84.59,64.41,4.74,491.06,Ficus
165.14,827.41,42.62,27.32,44.84,2.45,4.97,62.2,40.87,42.48,43.68,1.37,28.93,Bonsai
118.4,840.73,50.6,40.52,35.2,2.25,8.33,32.47,20.96,17.59,23.14,0.79,337.49,Succulent
177.92,758.43,56.27,42.27,41.13,3.13,5.66,70.54,41.32,39.99,46.36,1.64,42.28,Bonsai
169.32,768.4,64.99,30.57,33.97,2.44,6.35,56.84,36.01,39.02,46.87,1.89,57.73,Bonsai
170.84,813.81,44.12,39.29,42.03,2.44,5.59,103.05,55.53,66.94,41.62,2.0,209.87,Orchid
200.31,689.25,52.8,28.08,36.97,1.86,7.23,20.54,25.4,24.74,22.89,0.97,282.56,Succulent
140.98,804.08,62.75,30.48,41.09,2.61,5.85,55.11,39.33,53.42,56.32,1.38,39.94,Bonsai
138.45,700.47,45.6,46.35,36.44,2.0,5.31,105.17,75.03,69.7,38.52,1.99,195.91,Orchid
174.41,786.94,55.82,42.83,42.04,2.63,6.13,53.23,38.36,25.48,58.31,1.16,47.57,Bonsai
138.14,831.29,63.04,31.18,41.66,2.77,5.5,94.5,50.42,64.39,38.66,2.06,227.02,Orchid
155.93,770.02,46.06,39.77,38.34,2.6,7.84,29.2,18.63,23.1,26.18,0.62,339.48,Succulent
164.07,881.06,50.87,40.49,34.74,2.55,8.01,34.43,23.08,18.46,13.98,0.66,307.0,Succulent
122.63,903.26,44.33,40.4,42.78,2.53,7.91,30.13,16.78,17.76,20.71,0.64,352.59,Succulent
143.52,797.81,38.17,28.55,41.34,2.33,5.5,82.32,55.53,63.83,33.92,2.13,202.1,Orchid
137.74,820.43,49.24,34.94,42.36,2.47,6.94,159.22,76.94,80.09,66.26,4.08,530.22,Ficus
158.45,884.85,28.7,39.38,42.87,2.46,7.97,32.65,15.02,23.18,19.23,0.59,350.75,Succulent
160.89,701.76,50.48,35.34,40.66,2.7,7.75,27.52,22.08,24.4,25.29,0.65,304.88,Succulent
169.25,787.49,27.34,37.7,45.42,2.82,6.28,65.28,43.47,46.21,44.78,1.25,64.15,Bonsai
194.42,876.54,28.69,28.78,34.99,1.87,8.05,37.13,22.61,24.15,18.53,0.71,268.11,Succulent
159.96,772.59,44.54,34.06,35.42,2.39,6.94,142.31,80.77,76.67,76.04,3.97,515.51,Ficus
130.61,809.03,53.21,39.41,40.35,3.18,5.95,55.87,43.79,33.68,41.1,1.19,51.51,Bonsai
136.63,840.49,51.8,36.2,42.59,2.4,6.46,52.29,47.54,34.99,48.72,1.77,46.47,Bonsai
172.25,678.14,30.01,40.14,36.38,1.87,7.41,29.42,18.71,16.38,24.48,0.41,268.13,Succulent
186.28,781.29,37.52,29.05,48.54,2.02,8.32,28.83,21.61,27.66,20.27,0.25,308.69,Succulent
165.46,828.77,52.04,29.2,41.33,1.92,5.47,87.22,63.02,57.3,39.2,2.21,196.77,Orchid
137.1,775.17,43.23,33.9,45.49,3.33,5.35,77.0,58.03,63.16,44.16,1.79,172.45,Orchid
135.07,757.95,60.86,34.73,42.68,3.02,7.79,21.79,15.16,19.99,20.69,0.48,239.55,Succulent
149.69,742.33,49.54,31.2,47.12,3.16,6.95,133.87,75.1,84.27,60.74,4.18,556.45,Ficus
154.38,817.92,63.25,41.7,35.9,2.67,6.79,131.05,75.77,68.09,69.34,4.11,482.0,Ficus
158.27,873.6,39.66,31.26,36.57,2.46,5.58,86.95,59.73,61.3,45.65,1.93,155.31,Orchid
131.36,891.38,37.21,37.89,42.64,2.72,5.41,86.03,62.56,62.97,32.43,2.28,240.23,Orchid
127.48,810.34,25.42,39.6,43.07,2.94,8.43,35.3,25.89,11.94,11.11,0.7,298.13,Succulent
